name,RAM,CPU,Storage,Resolution,Refresh rate,GPU,Price
ASUS ROG Strix SCAR 15 G533ZW-LN123W Off Black,32 GB,Intel Core i9 12900H Alder Lake,2 000 GB (2 TB),2560 × 1440 px,240 Hz,RTX 3070 Ti,"66 790,-"
GIGABYTE G5 MF,8 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"24 590,-"
MSI Bravo 17 C7VF-025XCZ,16 GB,AMD Ryzen 7 7735HS,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB (1 TB),"28 990,-"
Dell Inspiron 14 7430 Silver,16 GB,Intel Core i7 13700H Raptor Lake,"512 GB (0,51 TB)",2560 × 1600 px,90 Hz,RTX 3050,"37 090,-"
Lenovo Legion Slim 5 16IRH8 Misty Grey kovový,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,NVIDIA GeForce,"38 989,-"
Lenovo IdeaPad Gaming 3 15IAH7 Onyx Grey,16 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,RTX 3050,"19 989,-"
VICTUS by HP 16-r0002nc Performance Blue,32 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,240 Hz,RTX 4070,"46 390,-"
Dell Inspiron 16 Plus (7620) Green,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),3072 × 1920 px,60 Hz,RTX 3060,"39 990,-"
Lenovo IdeaPad Gaming 3 15ARH7 Onyx Grey,16 GB,AMD Ryzen 5 7535HS,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,RTX 4050,"22 989,-"
Lenovo Legion 7 16IAX7 Storm Grey/Black celokovový,32 GB,Intel Core i7 12800HX Alder Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,NVIDIA GeForce,"66 990,-"
MSI Katana 17 B12UDXK-250XCZ,16 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","28 790,-"
ASUS TUF Dash F15 FX517ZM-HN157W Off Black kovový,16 GB,Intel Core i7 12650H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB (1 TB),"29 990,-"
VICTUS by HP 16-d1914nc Performance Blue,16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"27 990,-"
ASUS ROG Strix G15 G513RC-HN089W Eclipse Gray kovový,16 GB,AMD Ryzen 7 6800H,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 11 Home,"25 490,-"
Lenovo IdeaPad 5 Pro 16ACH6 Storm Grey celokovový,16 GB,AMD Ryzen 5 5600H,"512 GB (0,51 TB)",2560 × 1600 px,120 Hz,1 ×,"19 911,-"
Lenovo IdeaPad Gaming 3 15ACH6 Shadow Black,16 GB,AMD Ryzen 7 5800H,1 000 GB (1 TB),1920 × 1080 px,165 Hz,1 000 GB (1 TB),"20 293,-"
Lenovo Legion 5-15ACH6H Phantom Blue/Shadow Black,16 GB,AMD Ryzen 5 5600H,"512 GB (0,51 TB)",1920 × 1080 px,165 Hz,Windows 10 Home,"26 190,-"
Lenovo Legion 5 15ACH6 Phantom Blue/Shadow Black,16 GB,AMD Ryzen 5 5600H,1 000 GB (1 TB),1920 × 1080 px,165 Hz,1 000 GB,"23 931,-"
Lenovo Legion 5-15ARH05H,16 GB,AMD Ryzen 5 4600H,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,512 GB,"18 640,-"
Lenovo Legion Y740-15IRHg Black kovový,16 GB,Intel Core i7 9750H Coffee Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,720 px,"35 795,-"
Lenovo Legion 5 15IAH7H Storm Grey kovový,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,RTX 3070 Ti,"45 060,-"
Lenovo Legion 7 15IMHg05 Slate Grey kovový,16 GB,Intel Core i7 10875H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB (1 TB),"37 290,-"
Lenovo Legion 5 15IMH6 Phantom Black,16 GB,Intel Core i5 10500H Comet Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,Bez operačního systému,"19 191,-"
Lenovo Legion 5P-15IMH05H Iron Grey,16 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB (1 TB),"27 990,-"
Lenovo Legion Y740-15IRHg Black kovový,16 GB,Intel Core i7 9750H Coffee Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,720 px,"32 064,-"
Lenovo Legion 5-15ARH05 Phantom Black,16 GB,AMD Ryzen 7 4800H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,", Numerická klávesnice, Operační systém","19 592,-"
Lenovo Legion Slim 7 15IMH5 Slate Grey kovový,16 GB,Intel Core i7 10870H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB (1 TB),"28 909,-"
Lenovo Gaming L340-15IRH Gradient Blue,16 GB,Intel Core i5 9300H Coffee Lake,"512 GB (0,51 TB)",1920 × 1080 px,250 Nits,", Numerická klávesnice, Operační systém","20 334,-"
Lenovo ThinkPad X1 Extreme Gen 3,16 GB,Intel Core i7 10750H Comet Lake,"512 GB (0,51 TB)",1920 × 1080 px,500 Nits,", ","63 375,-"
Lenovo ThinkPad X1 Extreme Gen 3,16 GB,Intel Core i7 10750H Comet Lake,"512 GB (0,51 TB)",1920 × 1080 px,500 Nits,", ","52 980,-"
GIGABYTE AERO 16 KE,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,Bez možnosti nabíjet přes USB-C,"40 413,-"
Acer ConceptD 7 White kovový,16 GB,Intel Core i7 9750H Coffee Lake,"1 024 GB (1,02 TB)",3840 × 2160 px,Intel Core i7,Lze nabíjet přes USB-C,"26 390,-"
Acer Swift X Steel Gray celokovový,16 GB,Intel Core i5 11320H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,Intel Core i5,", ","20 990,-"
GIGABYTE G5 KC,16 GB,Intel Core i5 10500H Comet Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,Bez operačního systému,"19 990,-"
Acer Swift X Steel Gray celokovový,16 GB,Intel Core i5 11320H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,Intel Core i5,", ","19 590,-"
Acer Predator Triton 500 SE Steel Gray celokovový,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,Windows 11 Home,"52 946,-"
Acer Predator Triton 300 SE Sparkly Silver celokovový,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,1 000 GB,"42 404,-"
Acer Predator Triton 300 SE Sparkly Silver celokovový,16 GB,Intel Core i7 11370H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB,"33 532,-"
Acer Predator Triton 300 SE Sparkly Silver celokovový,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2880 × 1800 px,90 Hz,Windows 11 Home,"39 591,-"
Acer Predator Helios 300 Abyssal Black kovový,16 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,240 Hz,1 000 GB (1 TB),"28 690,-"
Acer Predator Helios 300 Abyssal Black kovový,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,Windows 11 Home,"55 890,-"
Acer Nitro 5 Obsidian Black,8 GB,Intel Core i5 9300H Coffee Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,0 ×,"31 090,-"
Acer Predator Helios 300 Abyssal Black kovový,16 GB,Intel Core i7 10870H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB (1 TB),"44 452,-"
Acer Nitro 5 Obsidian Black,8 GB,Intel Core i7 10750H Comet Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,RTX 3060,"23 490,-"
Acer Nitro 5 Shale Black,8 GB,AMD Ryzen 7 5800H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"19 912,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i5 9300H Coffee Lake,1 000 GB (1 TB),1920 × 1080 px,120 Hz,Bez možnosti nabíjet přes USB-C,"31 090,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i7 9750H Coffee Lake,1 000 GB (1 TB),1920 × 1080 px,120 Hz,1 ×,"28 990,-"
Acer Nitro 5 Shale Black,32 GB,AMD Ryzen 9 5900HX,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB (1 TB),"50 871,-"
Acer Nitro 5 Shale Black,16 GB,AMD Ryzen 7 5800H,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB,"34 437,-"
Acer Nitro 5 Obsidian Black ,16 GB,Intel Core i5 12500H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,165 Hz,Windows 11 Home,"32 390,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i7 9750H Coffee Lake,1 000 GB (1 TB),1920 × 1080 px,120 Hz,1 ×,"25 990,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i5 9300H Coffee Lake,1 000 GB (1 TB),1920 × 1080 px,120 Hz,Bez možnosti nabíjet přes USB-C,"26 090,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i5 11300H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 11 Home,"20 990,-"
